Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    2.6    3.9    5.4    6.0   10.1   13.3   13.2   14.1   11.8    9.9    2.8    5.5     ---   7.17  13.51   8.18    8.24
1911    3.5    4.0    4.3    6.6   11.7   13.2   16.2   16.5   12.7    8.4    5.0    5.3    4.32   7.55  15.32   8.70    8.98
1912    3.0    4.2    6.1    7.9   10.5   12.5   14.5   11.7   10.3    7.7    5.4    5.5    4.15   8.18  12.90   7.80    8.29
1913    3.5    4.2    4.9    6.8   10.1   12.8   13.6   14.2   12.7   10.1    7.3    4.2    4.37   7.28  13.53  10.01    8.71
1914    2.8    5.5    4.8    8.6    9.4   13.1   14.6   14.8   12.2    9.4    5.8    3.4    4.13   7.60  14.16   9.13    8.71
1915    3.0    3.1    4.2    6.8    9.3   12.8   13.4   14.1   12.2    8.3    2.6    3.9    3.17   6.77  13.43   7.70    7.83
1916    6.3    2.8    2.5    7.0    9.9   10.6   14.0   14.9   12.0    9.4    6.1    2.0    4.34   6.47  13.19   9.13    8.13
1917    1.1    1.0    2.5    4.3   10.8   13.2   14.7   14.4   12.7    6.6    7.0    2.0    1.37   5.88  14.13   8.72    7.56
1918    2.6    5.5    4.9    5.9   11.4   11.9   14.1   14.7   10.4    8.3    4.9    5.6    3.29   7.40  13.57   7.86    8.36
1919    2.4    1.2    2.5    6.2   11.7   12.5   12.9   14.3   11.6    7.2    2.3    4.2    3.09   6.81  13.24   7.04    7.45
1920    3.9    5.0    5.8    6.8   10.3   12.9   12.9   12.5   11.8    9.7    6.5    3.5    4.34   7.67  12.78   9.33    8.48
1921    5.8    4.2    5.9    7.3   10.0   13.0   16.2   13.8   12.8   11.6    4.4    5.7    4.51   7.72  14.35   9.64    9.27
1922    2.9    3.7    4.0    4.6   10.9   12.2   12.3   12.3   11.0    7.6    5.3    4.8    4.12   6.53  12.25   7.98    7.66
1923    4.9    4.5    5.7    6.3    8.0   11.2   15.7   13.6   11.1    8.6    2.8    3.1    4.77   6.67  13.54   7.53    7.99
1924    3.8    2.9    3.2    6.0    9.7   12.4   13.9   13.0   11.9    9.1    6.4    6.1    3.27   6.31  13.10   9.14    8.22
1925    4.6    3.9    4.2    6.3   10.1   13.4   15.4   14.3   10.4    9.5    3.4    2.1    4.88   6.86  14.36   7.77    8.15
1926    3.9    5.5    5.5    8.1    8.9   12.3   15.4   14.9   13.0    7.0    5.1    3.8    3.76   7.49  14.20   8.32    8.62
1927    3.8    3.7    6.1    6.7    9.4   10.8   14.5   14.4   11.2    9.3    5.3    1.5    3.76   7.42  13.27   8.62    8.10
1928    4.2    4.8    4.9    7.1    9.6   11.2   14.4   13.9   11.5    9.1    6.7    3.1    3.47   7.18  13.20   9.08    8.38
1929    1.1    0.3    5.7    5.6   10.0   11.8   14.4   13.8   13.9    8.4    5.8    4.7    1.53   7.11  13.37   9.36    8.01
1930    4.3    1.8    4.0    7.2    9.5   13.7   14.0   14.4   12.4    9.3    5.1    3.8    3.65   6.89  14.01   8.95    8.32
1931    2.6    3.0    3.1    6.6   10.0   12.5   14.0   13.1   10.8    8.2    6.9    5.0    3.15   6.55  13.24   8.61    8.01
1932    5.5    3.2    4.1    5.6    9.1   12.8   14.6   15.4   11.8    7.7    5.7    4.9    4.59   6.29  14.27   8.40    8.39
1933    1.9    3.3    6.3    7.9   10.5   14.0   16.3   15.9   13.7    9.2    5.1    1.9    3.35   8.25  15.40   9.31    8.86
1934    4.0    3.9    4.0    6.5    9.9   13.4   16.4   13.9   13.0    9.2    5.3    6.9    3.22   6.79  14.58   9.17    8.89
1935    4.0    4.6    5.7    6.8    9.0   13.3   15.4   15.2   12.1    8.4    5.7    2.1    5.18   7.17  14.63   8.72    8.55
1936    2.6    1.9    5.8    5.4   10.1   13.2   14.1   14.8   13.1    8.6    5.0    4.5    2.24   7.15  14.04   8.88    8.29
1937    4.3    4.1    2.4    7.9   10.8   12.7   14.5   15.2   12.1    9.2    4.9    2.2    4.29   7.02  14.13   8.74    8.37
1938    4.7    4.2    8.0    6.9    9.3   12.7   13.6   14.5   12.5    9.3    7.8    3.5    3.68   8.08  13.62   9.90    8.96
1939    3.0    4.9    5.1    7.3   10.2   12.9   13.9   15.1   13.0    7.5    7.3    2.9    3.76   7.53  13.97   9.25    8.60
1940   -1.1    2.0    4.9    7.2   11.3   14.9   13.6   14.1   11.4    8.7    5.9    3.3    1.25   7.81  14.20   8.67    8.04
1941   -0.1    2.3    3.9    5.5    8.2   13.4   15.5   13.4   13.6    9.4    5.7    4.9    1.82   5.88  14.10   9.55    8.00
1942    1.0    0.2    4.1    7.9    9.7   12.6   14.0   14.8   12.3    9.3    4.7    5.8    2.08   7.19  13.83   8.76    8.07
1943    3.9    5.2    5.9    9.2   10.4   12.9   14.6   14.1   11.8    9.8    5.6    3.4    4.97   8.48  13.88   9.08    8.93
1944    5.1    3.0    4.5    8.8    9.9   12.2   14.9   15.5   11.2    8.3    5.1    3.3    3.87   7.69  14.20   8.19    8.49
1945   -0.2    5.9    7.2    8.6   10.5   13.0   15.2   14.6   13.2   10.7    6.7    4.6    2.91   8.80  14.26  10.18    9.18
1946    2.6    4.9    4.5    8.5    9.5   11.8   14.6   13.2   12.7    8.8    6.9    2.6    3.97   7.51  13.19   9.46    8.39
1947    1.8   -2.0    2.2    7.2   11.5   13.7   15.2   17.0   13.3    9.9    6.1    4.4    0.87   6.94  15.34   9.77    8.42
1948    3.8    3.9    7.3    7.8    9.9   12.3   14.2   13.6   12.5    9.0    6.7    4.9    4.01   8.36  13.37   9.39    8.84
1949    4.6    4.8    4.4    8.7    9.7   13.4   15.6   15.2   14.6   10.7    5.9    4.7    4.78   7.58  14.74  10.41    9.38
1950    3.9    4.0    6.5    6.3   10.0   14.4   14.6   14.3   11.6    8.8    4.7    0.7    4.20   7.62  14.40   8.36    8.33
1951    2.9    2.6    3.2    5.5    8.7   12.3   14.7   13.5   12.8    9.2    7.3    4.7    2.03   5.81  13.51   9.76    8.15
1952    1.7    2.8    5.6    8.3   11.6   12.5   15.0   14.5    9.9    8.1    3.5    2.6    3.04   8.52  14.02   7.16    8.03
1953    3.2    3.8    5.2    6.1   11.3   13.0   14.1   14.6   12.9    9.2    7.5    6.1    3.22   7.52  13.91   9.86    8.95
1954    2.6    1.8    4.7    6.7   10.1   12.1   12.9   13.2   11.3   10.4    5.9    5.6    3.55   7.19  12.75   9.21    8.16
1955    1.8    0.3    2.6    8.3    8.5   12.4   16.0   16.4   13.1    8.2    6.6    4.5    2.65   6.42  14.94   9.30    8.27
1956    2.7   -0.2    5.3    5.8   10.6   11.8   14.3   12.2   13.0    8.7    5.7    5.2    2.40   7.22  12.73   9.11    7.94
1957    4.5    3.9    7.9    7.7    9.3   13.4   14.8   14.1   11.2    9.7    5.8    3.9    4.57   8.29  14.10   8.91    8.87
1958    2.6    3.5    2.6    6.4    9.5   12.3   14.5   14.4   13.9    9.9    5.9    3.8    3.30   6.18  13.75   9.89    8.29
1959    0.9    3.8    6.2    8.1   11.2   13.5   15.4   15.7   13.5   11.4    6.2    4.8    2.79   8.52  14.91  10.40    9.27
1960    3.1    2.7    5.3    8.0   11.5   14.4   13.8   13.7   11.9    9.3    6.0    3.0    3.54   8.26  13.96   9.08    8.57
1961    2.7    5.8    7.4    8.5    9.7   12.9   13.6   13.9   13.6    9.7    5.3    1.8    3.77   8.53  13.47   9.49    8.74
1962    3.6    3.7    1.9    6.5    9.0   12.3   13.2   13.0   11.4    9.7    4.7    2.2    2.98   5.80  12.84   8.61    7.62
1963   -1.8   -1.1    5.0    7.2    9.1   13.3   13.6   12.9   11.8    9.7    6.6    2.4   -0.18   7.11  13.29   9.36    7.45
1964    3.3    3.7    3.6    7.6   11.5   12.3   14.3   13.9   12.7    8.1    6.5    2.7    3.13   7.57  13.53   9.07    8.37
1965    2.4    2.7    4.1    7.0   10.1   12.9   12.4   13.4   11.2    9.9    3.5    3.3    2.62   7.06  12.93   8.25    7.79
1966    2.2    4.0    5.6    5.7    9.8   13.8   13.6   13.3   12.8    8.9    4.5    4.1    3.15   7.06  13.54   8.73    8.21
1967    3.7    4.5    5.7    6.8    8.8   12.9   14.8   14.2   12.4    9.2    4.9    3.7    4.09   7.13  13.96   8.86    8.49
1968    3.5    1.1    5.2    6.9    8.4   13.3   13.5   14.1   12.5   11.1    5.5    2.6    2.79   6.83  13.65   9.74    8.18
1969    4.4    0.1    2.6    6.3    9.7   12.7   15.1   15.0   12.6   11.8    4.0    2.8    2.44   6.19  14.29   9.46    8.14
1970    3.0    1.8    2.9    5.5   11.3   14.7   13.4   14.7   12.9    9.5    6.3    3.7    2.55   6.57  14.25   9.57    8.34
1971    3.9    4.1    4.4    6.8   10.3   11.1   15.2   14.2   13.2   10.4    5.3    6.0    3.90   7.17  13.54   9.64    8.78
1972    3.1    3.5    5.5    7.3    9.4   10.5   14.2   13.6   10.7    9.7    5.2    4.9    4.20   7.39  12.77   8.55    8.15
1973    3.9    3.4    5.5    5.9    9.9   13.4   14.3   14.9   12.8    8.3    5.1    4.0    4.11   7.12  14.25   8.73    8.50
1974    5.0    4.6    4.7    7.2    9.8   12.3   13.5   13.8   10.7    6.9    5.6    6.5    4.54   7.22  13.19   7.71    8.39
1975    5.3    4.0    3.9    7.1    8.6   13.1   15.5   16.8   11.8    9.3    5.4    4.7    5.29   6.51  15.16   8.83    8.82
1976    4.5    3.8    4.0    7.1   10.4   15.0   16.5   15.8   12.0    9.4    5.3    1.4    4.35   7.13  15.77   8.90    8.77
1977    1.9    3.6    5.8    6.0    9.2   11.2   14.6   13.9   11.7   10.7    5.1    5.2    2.27   7.02  13.26   9.16    8.28
1978    2.3    1.4    5.5    5.4   10.5   12.3   13.3   13.7   12.6   10.8    7.3    3.3    3.02   7.16  13.11  10.22    8.25
1979   -0.5    0.6    3.3    6.4    8.4   12.7   14.4   13.4   11.9   10.2    5.6    4.5    1.17   6.03  13.49   9.27    7.62
1980    1.8    4.6    3.7    7.7   10.0   12.6   13.3   14.4   13.3    7.8    5.5    4.7    3.61   7.14  13.44   8.86    8.29
1981    3.8    2.6    6.3    6.8   10.3   12.0   14.1   14.9   13.2    6.9    6.5    0.1    3.75   7.82  13.69   8.82    8.15
1982    2.3    4.3    5.1    7.7   10.2   13.7   15.1   14.4   12.7    9.2    6.5    3.5    2.12   7.64  14.41   9.47    8.73
1983    5.4    1.4    5.6    5.6    8.9   12.8   17.3   16.0   12.2    9.2    6.7    5.1    3.48   6.70  15.38   9.35    8.90
1984    2.3    3.2    3.9    7.3    9.0   13.1   15.3   15.9   12.1    9.7    6.8    4.7    3.55   6.75  14.78   9.55    8.63
1985    0.4    2.2    3.8    7.2    9.6   11.4   14.5   13.2   12.9   10.0    3.1    5.2    2.44   6.87  13.06   8.69    7.83
1986    2.5   -1.2    4.3    4.8    9.8   13.3   14.2   12.2   10.4    9.7    6.7    4.8    2.29   6.30  13.25   8.95    7.69
1987    0.7    3.0    3.3    8.8    9.0   11.3   14.6   14.2   12.2    8.4    5.8    4.9    2.83   7.03  13.38   8.81    8.05
1988    4.1    3.9    5.1    7.1   10.5   13.4   13.5   13.9   12.1    9.4    5.1    6.6    4.34   7.60  13.61   8.89    8.76
1989    5.8    4.9    6.0    5.5   11.5   13.0   16.5   14.8   12.9   10.5    5.8    3.8    5.81   7.69  14.79   9.73    9.28
1990    5.5    5.9    7.2    7.1   11.4   12.4   15.2   16.1   11.7   10.5    5.8    3.8    5.04   8.56  14.59   9.35    9.41
1991    2.6    1.4    6.7    6.9   10.0   10.9   15.9   15.7   13.1    9.0    5.7    4.4    2.61   7.88  14.21   9.27    8.58
1992    3.6    4.8    6.1    7.4   12.0   14.4   14.6   13.8   11.9    6.7    6.1    3.2    4.25   8.54  14.27   8.21    8.73
