Destination country (across)                                                              -                                                   Source country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mayotte,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,São Tomé and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other South,Other North,TOTAL
Afghanistan,,0,,0,0,0,0,0,0,0,"21,968",0,0,0,0,0,0,0,"1,059",0,0,0,0,3,0,,0,0,0,0,0,0,0,"42,100",0,0,0,0,,26,,0,0,,0,0,0,0,0,7,211,"12,293",0,0,9,76,0,0,0,,0,0,0,0,580,"2,958",0,0,0,0,"79,444",,,567,,,0,0,0,0,0,0,0,0,606,0,"8,414",0,"1,704,199",0,238,,0,"1,382",0,710,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,22,1,0,0,0,0,0,,0,0,0,2,0,,13,0,0,0,0,,,0,0,0,0,"30,986",0,0,"2,346",34,0,0,0,"4,516",0,,0,0,0,0,6,973,162,3,0,0,0,0,0,0,0,0,"17,227",0,,,0,0,168,0,0,,0,483,0,0,0,0,0,0,0,"8,504","2,222",0,"56,816",0,0,0,0,0,0,0,"10,796",0,,,0,0,0,"61,408","61,906",0,0,0,9,,0,0,0,0,0,"215,649",,"2,351,104"
Albania,,0,,0,0,0,0,0,0,0,"2,628","2,397",0,0,0,0,0,0,"1,884",0,0,0,0,0,63,,0,0,0,0,0,0,0,"11,985",0,0,0,0,,48,,0,0,,0,0,0,0,107,246,180,272,0,0,32,99,0,0,0,,0,0,0,0,69,"3,037",0,0,0,0,"15,964",,,"676,846",,,0,0,0,0,0,0,0,0,117,0,0,0,0,0,467,,0,"522,647",0,56,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,3,267,0,"91,128",0,0,0,,0,0,0,0,0,,12,0,0,0,0,,,0,0,0,0,711,0,0,118,40,0,0,0,303,0,,0,21,0,0,15,725,62,58,0,0,0,0,0,0,0,0,0,0,,,0,0,28,195,0,,0,"1,847",0,0,0,0,0,0,0,652,"1,688",0,0,0,0,0,0,0,0,0,"3,712",0,,,0,0,0,"3,065","83,018",3,0,0,15,,0,0,0,0,0,"11,624",,"1,438,451"
Algeria,,0,,0,0,0,0,0,0,0,"1,261",734,0,0,"2,311",0,0,0,"21,550",0,0,0,0,13,0,,0,0,0,0,0,0,0,"37,543",0,0,9,0,,77,,0,0,,0,0,0,0,0,33,330,"1,187",0,0,95,66,"1,246",0,0,,0,0,0,0,769,"913,794",0,0,0,0,"21,081",,,378,,,0,0,0,0,0,0,3,0,610,53,0,0,0,290,"1,945",,"47,199","29,480",0,155,"2,827",0,0,0,,0,,0,0,0,0,,0,0,0,0,3,405,0,0,"3,586",0,0,,615,0,0,"2,744",0,,131,0,0,0,0,,,0,0,0,0,"3,833",0,0,135,62,0,0,0,"1,216",0,,0,18,0,0,14,674,529,267,0,0,0,0,0,0,0,0,0,0,,,0,0,75,0,0,,0,"63,346",0,0,0,0,419,0,0,"2,223","6,748",0,0,0,0,0,0,0,0,"12,176",726,0,,,0,0,0,"15,612","7,306",14,0,0,72,,0,0,0,0,0,"3,133",,"1,211,118"
American Samoa,,0,,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,50,0,0,0,0,,0,,0,0,,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,,0,0,0,165,0,1,0,0,0,0,0,,,3,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,110,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,2,0,0,550,0,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,003",0,0,0,0,,,0,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,40,"41,101",0,0,0,1,,0,0,0,0,0,397,,"45,671"
Andorra,,0,,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,43,0,0,0,0,0,0,,0,0,0,0,0,0,0,19,0,3,0,0,,15,,0,0,,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,,0,0,0,0,2,"1,403",0,0,0,0,72,,,6,,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,,0,14,0,1,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,,4,0,0,0,0,,,0,0,0,0,7,0,0,3,0,0,0,0,4,0,,0,4,0,0,4,0,0,592,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,"6,171",0,0,0,0,0,0,0,1,27,0,0,438,0,0,0,0,0,0,9,0,,,0,0,0,46,98,2,0,0,4,,0,0,0,0,0,58,162,"9,253"
Angola,,0,,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,"3,041",0,0,0,0,7,0,,"6,379",0,0,0,0,0,0,"3,545","2,393",3,62,0,,101,,0,0,,"10,573",0,0,0,0,0,136,157,0,0,27,59,0,0,0,,0,0,0,0,192,"18,906",0,0,0,0,"11,742",,,18,,,0,0,0,0,0,0,0,0,41,0,0,0,0,0,"1,319",,0,"2,121",0,7,0,0,0,0,,0,,0,0,0,0,,1,0,0,0,0,423,0,0,0,0,0,,0,0,0,0,0,,49,0,0,0,0,,,0,0,"67,540",0,"6,552",0,0,26,11,0,0,0,189,0,,0,19,0,0,7,"3,141",29,"245,650",0,0,0,0,0,0,0,"1,843",0,0,,,0,0,76,0,0,,0,"4,646",0,0,0,0,0,0,0,619,"4,773",0,0,"3,063",0,0,0,0,0,0,2,0,,,0,0,0,"11,449","5,637",9,0,0,118,,0,0,0,"93,496",0,"22,868",,"533,593"
Antigua and Barbuda,,0,,0,0,0,0,0,0,0,33,0,0,7,0,0,0,0,3,1,0,0,0,0,0,,0,0,0,0,0,0,0,"2,724",0,3,0,0,,0,,0,0,,0,0,0,0,0,0,5,1,0,401,397,20,0,0,0,,0,0,0,0,2,36,0,0,0,0,24,,,11,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,0,44,0,5,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,,15,0,0,0,0,,,0,0,0,0,30,"1,239",0,7,0,0,0,0,3,0,,0,1,0,0,14,"7,495",1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,16,0,188,205,65,0,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,"5,154","17,611",0,0,0,2,,"5,293",0,0,0,0,"1,066",,"42,170"
Argentina,,0,,0,224,0,0,0,0,0,"14,190","1,166",0,8,0,0,0,0,"1,835",5,0,0,0,"45,424",0,,"27,700",0,0,0,0,0,0,"21,094",0,18,0,0,,"82,539",,"2,570",0,,0,0,0,211,164,75,312,"1,302",0,0,"3,940","7,394",0,207,0,,0,0,0,0,270,"11,151",0,0,0,0,"7,391",,,415,,,0,432,0,0,0,52,118,0,249,41,0,0,0,0,546,,"48,312","16,243",0,"3,893",0,0,0,0,,0,,0,0,0,0,,0,0,0,0,46,139,0,0,0,0,0,,0,0,0,114,0,,"9,508",0,0,0,0,,,0,0,0,0,"2,644",53,0,994,227,0,0,0,826,0,,0,"1,154",0,"59,115","2,997",818,189,"1,465",0,0,0,0,0,0,0,0,0,0,,,0,0,115,0,0,,0,"331,173",0,0,0,0,0,0,0,"3,220","5,706",0,0,0,0,0,0,0,0,0,158,0,,,0,0,0,"9,002","163,353","22,743",0,0,"8,533",,0,0,0,0,0,"33,407",,"957,190"
Armenia,,0,,0,0,0,0,46,0,0,"1,156",589,"42,596",0,0,0,0,"6,074","1,153",0,0,0,0,2,0,,0,0,0,0,0,2,0,"2,555",0,0,0,0,,17,,0,0,,12,0,0,0,0,"1,037",931,744,0,0,9,53,0,0,0,,0,0,0,0,148,"14,481",0,0,0,"17,769","15,515",,,"8,769",,,0,0,0,0,0,0,0,0,75,0,0,0,"1,375",0,135,,"16,509",554,0,32,0,"7,357",0,0,,0,,0,0,0,"3,164",,0,0,0,0,431,7,0,0,0,0,0,,0,0,0,2,0,,76,0,0,0,0,,,0,0,0,0,"1,912",0,0,36,0,0,0,0,167,0,,0,6,0,0,1,0,"1,941",78,0,0,0,"493,126",0,0,0,0,0,0,,,0,0,164,0,0,,0,"12,388",0,0,0,0,0,0,0,888,474,0,0,0,0,0,0,0,0,0,891,"7,248",,,0,"53,193",0,789,"77,208",215,0,0,28,,0,0,0,0,0,"76,329",,"870,458"
Aruba,,0,,0,0,0,4,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,0,0,0,0,0,0,0,819,0,0,0,0,,5,,248,0,,0,0,0,0,0,0,1,0,0,0,492,0,0,0,0,,0,0,0,0,0,11,0,0,0,0,0,,,37,,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,,12,0,0,0,0,,,0,0,0,0,"1,032","3,777",0,12,0,0,0,0,12,0,,0,15,0,0,0,84,0,18,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,0,0,0,0,"6,249",0,0,0,387,,0,0,0,0,0,156,228,"13,709"
